subject,relation,object,subject_type,object_type
space technology,offer,suitable chance,NOUN_CHUNK,NOUN_CHUNK
1567) job requirements.art dealers,study,history,NOUN_CHUNK,NOUN_CHUNK
dealers,recognize,styles,NOUN_CHUNK,NOUN_CHUNK
galleries,charge,flat rate,NOUN_CHUNK,NOUN_CHUNK
galleries,hang,solo shows,NOUN_CHUNK,NOUN_CHUNK
curators,create,shows,NOUN_CHUNK,NOUN_CHUNK
moveable heritage,includes,books,NOUN_CHUNK,NOUN_CHUNK
preservation.digital,preservation.intangible,"culture.""intangible cultural heritage",NOUN_CHUNK,NOUN_CHUNK
concept,includes,ways,NOUN_CHUNK,NOUN_CHUNK
law.heritage heritage.management,objects.value,creation,NOUN_CHUNK,NOUN_CHUNK
dziedzictwo,kulturowe,w regionach europejskich,NOUN_CHUNK,NOUN_CHUNK
chief,supervises,directors,NOUN_CHUNK,NOUN_CHUNK
carabinieri specialist units division,provides,carabinieri air support,NOUN_CHUNK,NOUN_CHUNK
carabinieri specialist units division,supports,public order,NOUN_CHUNK,NOUN_CHUNK
2nd mobile brigade,includes,  special forces group,NOUN_CHUNK,NOUN_CHUNK
special tasks departments.special tasks departments,have,everyday duties,NOUN_CHUNK,NOUN_CHUNK
carabinieri,perform,military police,NOUN_CHUNK,NOUN_CHUNK
carabinieri,have,personnel,NOUN_CHUNK,NOUN_CHUNK
ambientale e agroalimentare,protection.the specialized comando unità per la tutela forestale,headquarter,NOUN_CHUNK,NOUN_CHUNK
military police force,uniforms.the carabinieri,uniforms,NOUN_CHUNK,NOUN_CHUNK
infantry,use,version,NOUN_CHUNK,NOUN_CHUNK
officials,had,silver swords,NOUN_CHUNK,NOUN_CHUNK
troops,had,three different types,NOUN_CHUNK,CARDINAL
jacket,bear,frieze,NOUN_CHUNK,NOUN_CHUNK
variants,concern,buttoning,NOUN_CHUNK,NOUN_CHUNK
state color,bears,following cavalier crosses,NOUN_CHUNK,NOUN_CHUNK
ducato.hummer grande punto.jeep,renegade.jeep,grand cherokee.mitsubishi pajero.mitsubishi,NOUN_CHUNK,NOUN_CHUNK
conquests,spread,hellenistic civilization,NOUN_CHUNK,NOUN_CHUNK
athens,suffered,land agrarian crisis,NOUN_CHUNK,NOUN_CHUNK
greece,enjoyed,huge economic development,NOUN_CHUNK,NOUN_CHUNK
athens,ended,athens campaigns,NOUN_CHUNK,NOUN_CHUNK
theban general epaminondas,led,theban troops,NOUN_CHUNK,NOUN_CHUNK
alexander,continued,punic war,NOUN_CHUNK,NOUN_CHUNK
greek city states,widened,horizons,NOUN_CHUNK,NOUN_CHUNK
roman civil wars,devastated,land,NOUN_CHUNK,NOUN_CHUNK
social prominence,allow,special rights,NOUN_CHUNK,NOUN_CHUNK
slaves,made up,one-third of the total population in some city-states,NOUN_CHUNK,CARDINAL
city states,established,public schools,NOUN_CHUNK,NOUN_CHUNK
wealthy families,afford,teacher,NOUN_CHUNK,NOUN_CHUNK
older youths,attended,academy,NOUN_CHUNK,NOUN_CHUNK
richest students,continued,richest students education,NOUN_CHUNK,NOUN_CHUNK
culture.philosophy.ancient greek philosophy,had,important influence,PERSON,NOUN_CHUNK
hellenistic period,saw,shift,NOUN_CHUNK,NOUN_CHUNK
greek art,depicts,musical instruments,NOUN_CHUNK,NOUN_CHUNK
ancient greeks,made,important discoveries,NOUN_CHUNK,NOUN_CHUNK
humanist aesthetic,inspired,generations,NOUN_CHUNK,NOUN_CHUNK
modern revival,took,place,NOUN_CHUNK,NOUN_CHUNK
1100 bc).mycenaean greece,represents,advanced distinctively greek civilization,MONEY,NOUN_CHUNK
achaean league territory,included,locris,NOUN_CHUNK,NOUN_CHUNK
certain greek city states,joined,aetolian league,NOUN_CHUNK,NOUN_CHUNK
region,wrested,independence,NOUN_CHUNK,NOUN_CHUNK
one of lysimachus' lieutenants,took,control,CARDINAL,NOUN_CHUNK
structure,had,influence,NOUN_CHUNK,NOUN_CHUNK
authority,resided in,individual small cities,NOUN_CHUNK,NOUN_CHUNK
proposed etymology,has,long history,NOUN_CHUNK,NOUN_CHUNK
ancient writers,differed in,theories,NOUN_CHUNK,NOUN_CHUNK
lemnos stele,bears,inscriptions,NOUN_CHUNK,NOUN_CHUNK
syracuse's tyrant hiero,defeated,etruscans,GPE,NOUN_CHUNK
tyrrhenus,gave,tyrrhenus,NOUN_CHUNK,NOUN_CHUNK
modern authors,include,rusellae,NOUN_CHUNK,NOUN_CHUNK
roman families,achieved,state system,NOUN_CHUNK,NOUN_CHUNK
etruscan texts,name,number,NOUN_CHUNK,NOUN_CHUNK
etruscans,used,model,NOUN_CHUNK,NOUN_CHUNK
apparent promiscuous revelry,has,spiritual explanation,NOUN_CHUNK,NOUN_CHUNK
etruscans,had,significant military tradition,NOUN_CHUNK,NOUN_CHUNK
greek heroes,adapted,native italic styles,NOUN_CHUNK,NOUN_CHUNK
etruscans,lost,civilizations,NOUN_CHUNK,NOUN_CHUNK
compact agglomération,had,"946,000 inhabitants",NOUN_CHUNK,CARDINAL
commuter area,contains,population,NOUN_CHUNK,NOUN_CHUNK
geneva,hosts,highest number,NOUN_CHUNK,NOUN_CHUNK
mercer,ranked,geneva,NOUN_CHUNK,NOUN_CHUNK
revolutionary france,annexed,geneva,NOUN_CHUNK,NOUN_CHUNK
canton,shared with,4.5-kilometre long 2.8 mi border,NOUN_CHUNK,NOUN_CHUNK
city,receives,snow,NOUN_CHUNK,NOUN_CHUNK
left bank,includes,saint jean,NOUN_CHUNK,NOUN_CHUNK
administrative council,constitutes,executive government,NOUN_CHUNK,NOUN_CHUNK
executive body,made up,executive body meetings,NOUN_CHUNK,NOUN_CHUNK
municipal council,holds,legislative power,NOUN_CHUNK,NOUN_CHUNK
administrative council,makes,regulations,NOUN_CHUNK,NOUN_CHUNK
administrative council,holds,administrative council,NOUN_CHUNK,NOUN_CHUNK
international relations.geneva,have,sister relationships,NOUN_CHUNK,NOUN_CHUNK
room apartment,cost,average,NOUN_CHUNK,NOUN_CHUNK
world council,have,world council,NOUN_CHUNK,NOUN_CHUNK
conference,moved,conference,NOUN_CHUNK,NOUN_CHUNK
john calvin calvin,denounced,john calvin,PERSON,PERSON
festive traditions,include,chocolate cauldrons,NOUN_CHUNK,NOUN_CHUNK
climbing race,takes,place,NOUN_CHUNK,NOUN_CHUNK
bud,has,largest stage,NOUN_CHUNK,NOUN_CHUNK
bud,features,opera dance performances,NOUN_CHUNK,NOUN_CHUNK
fêtes de genève.an annual music festival,celebrated,festivals,NOUN_CHUNK,NOUN_CHUNK
canton,has,primaires,NOUN_CHUNK,NOUN_CHUNK
écoles professionnelles,offer,time courses,NOUN_CHUNK,NOUN_CHUNK
education system,has,eight years,NOUN_CHUNK,DATE
"an additional 11,797 students",attending,private schools,CARDINAL,NOUN_CHUNK
john calvin,founded,geneva academy,NOUN_CHUNK,NOUN_CHUNK
three main sectors,dominate,financial sector,CARDINAL,NOUN_CHUNK
major commodities,include,steel,NOUN_CHUNK,NOUN_CHUNK
large trading companies,have,large trading companies regional global headquarters,NOUN_CHUNK,NOUN_CHUNK
team,plays,team home games,NOUN_CHUNK,NOUN_CHUNK
geneva jets australian football club,playing,australian football,NOUN_CHUNK,NOUN_CHUNK
sig,provides,telecommunication facilities,NOUN_CHUNK,NOUN_CHUNK
ziegler,played,35 games,NOUN_CHUNK,CARDINAL
euro,set up,clearing system,NOUN_CHUNK,NOUN_CHUNK
european commission,specified,euro logo,NOUN_CHUNK,NOUN_CHUNK
one european currency unit,set,one euro,CARDINAL,MONEY
direct usage,affects,nearly 3 million people,NOUN_CHUNK,CARDINAL
united states,dollarthe,united states dollar,NOUN_CHUNK,NOUN_CHUNK
introduction,found that,significant reductions,NOUN_CHUNK,NOUN_CHUNK
euro,decreased,cost,NOUN_CHUNK,NOUN_CHUNK
studies,found,evidence,NOUN_CHUNK,NOUN_CHUNK
bulgaria,spelled as,exception,GPE,NOUN_CHUNK
copious literary tradition,mention,pottery,NOUN_CHUNK,NOUN_CHUNK
beazley,used,stylistic compendia,ORG,NOUN_CHUNK
vase painting,received,major new impulses,NOUN_CHUNK,NOUN_CHUNK
andokides workshop,began,production,NOUN_CHUNK,NOUN_CHUNK
euphronios earliest known works,show,total control,NOUN_CHUNK,NOUN_CHUNK
villa giulia,holds,two very early pelikes,NOUN_CHUNK,CARDINAL
medium size vases,offered,space,NOUN_CHUNK,NOUN_CHUNK
psykter,counted among,work,NOUN_CHUNK,NOUN_CHUNK
euphronios,thought to,work,NOUN_CHUNK,NOUN_CHUNK
phrase,implies,respect,NOUN_CHUNK,NOUN_CHUNK
statuesque appearance,increased by,image,NOUN_CHUNK,NOUN_CHUNK
series,smashed,smuggling ring,NOUN_CHUNK,NOUN_CHUNK
chalice krater,depicts,symposium,NOUN_CHUNK,NOUN_CHUNK
hermitage,depicts,four hetairai feasting,NOUN_CHUNK,CARDINAL
telamon,delivers,deathblow,NOUN_CHUNK,NOUN_CHUNK
neck amphora,shows,nearly identical scene,NOUN_CHUNK,NOUN_CHUNK
euphronios workshop,produced,bowls,NOUN_CHUNK,NOUN_CHUNK
e.g. euphronios,developed,true passion,NOUN_CHUNK,NOUN_CHUNK
fragmentary inscription,contains,euphronios,NOUN_CHUNK,NOUN_CHUNK
center branch,features,pre-20th-century european paintings,NOUN_CHUNK,DATE
getty,built,replica,NOUN_CHUNK,NOUN_CHUNK
museum,displays,collections,NOUN_CHUNK,NOUN_CHUNK
california attorney general,conducted,investigation,NOUN_CHUNK,NOUN_CHUNK
museum,has,seven story deep underground parking garage,NOUN_CHUNK,NOUN_CHUNK
museum roof,has,outdoor sculpture garden,NOUN_CHUNK,NOUN_CHUNK
rotunda,building,houses information desks,NOUN_CHUNK,NOUN_CHUNK
j. paul getty museum estimated 1.8 million visitors,make,j. paul getty museum,NOUN_CHUNK,NOUN_CHUNK
collection,includes,pre-20th century european paintings,NOUN_CHUNK,NOUN_CHUNK
lower level,includes,public cafeteria,NOUN_CHUNK,NOUN_CHUNK
water,plays,major role,NOUN_CHUNK,NOUN_CHUNK
gri research library,contains,"900,000 volumes",NOUN_CHUNK,NOUN_CHUNK
gri activities,include,exhibitions,NOUN_CHUNK,NOUN_CHUNK
separate building,encircles,landscaped garden,NOUN_CHUNK,NOUN_CHUNK
offices.meier,designed,three other buildings,NOUN_CHUNK,CARDINAL
gci,has,activities,NOUN_CHUNK,NOUN_CHUNK
