subject,relation,object,subject_type,object_type
native countries,caused,bitter disputes,NOUN_CHUNK,NOUN_CHUNK
countries,asking,help,NOUN_CHUNK,NOUN_CHUNK
native countries,caused,bitter disputes,NOUN_CHUNK,NOUN_CHUNK
countries,asking,help,NOUN_CHUNK,NOUN_CHUNK
art collectors,have,rights,NOUN_CHUNK,NOUN_CHUNK
government,achieved,repossession,NOUN_CHUNK,NOUN_CHUNK
peru,has,similar patrimony law,GPE,NOUN_CHUNK
united states customs service,pursued,recovery,NOUN_CHUNK,NOUN_CHUNK
major natural history athropological museums,exhibited,pre - columbian peruvian art,NOUN_CHUNK,NOUN_CHUNK
peruvian embassy,celebrates,artifacts return,NOUN_CHUNK,NOUN_CHUNK
customs special agent richard conger,spent,10 hours,NOUN_CHUNK,TIME
bernstein,declared,value,NOUN_CHUNK,NOUN_CHUNK
60-year old evans,suffered,fatal heart attack,NOUN_CHUNK,NOUN_CHUNK
search,uncovered,587 more peruvian archeological treasures,NOUN_CHUNK,CARDINAL
today's reception,marks,official turnover,DATE,NOUN_CHUNK
peru,claims,ownership,NOUN_CHUNK,NOUN_CHUNK
people,know,u.s,NOUN_CHUNK,NOUN_CHUNK
authorities,have,legal power,NOUN_CHUNK,NOUN_CHUNK
u.su.s,has,only one other such bilateral agreement,NOUN_CHUNK,CARDINAL
magistrate court,turn,a half-dozen artifacts,NOUN_CHUNK,CARDINAL
district judge richard l. williams district judge richard l. williams,set,sentencing,NOUN_CHUNK,NOUN_CHUNK
bernstein,told,customs officials,NOUN_CHUNK,NOUN_CHUNK
section,features,photographs,NOUN_CHUNK,NOUN_CHUNK
final room,satisfy,viewer,NOUN_CHUNK,NOUN_CHUNK
congress,ratified,unesco convention,NOUN_CHUNK,NOUN_CHUNK
time,taking,toll,NOUN_CHUNK,NOUN_CHUNK
openness,give,easy access,NOUN_CHUNK,NOUN_CHUNK
temples,grace,street corner,NOUN_CHUNK,NOUN_CHUNK
stone statues,adorn,street walls,NOUN_CHUNK,NOUN_CHUNK
nepal,stolen since 1951,nepal doors,NOUN_CHUNK,NOUN_CHUNK
priests,maintain,detailed lists,NOUN_CHUNK,NOUN_CHUNK
peru,helped by,treaty,GPE,NOUN_CHUNK
ang,instituted,detailed examination,NOUN_CHUNK,NOUN_CHUNK
minister,wrapped up,"2,500-year old weaving",NOUN_CHUNK,NOUN_CHUNK
gallery,has,mantle,NOUN_CHUNK,NOUN_CHUNK
paracas mantle,form,centrepiece,NOUN_CHUNK,NOUN_CHUNK
federal government,returned,stolen relic,NOUN_CHUNK,NOUN_CHUNK
federal government,paid,"35,000",NOUN_CHUNK,MONEY
