Source,Target,Label,Id,Type
native countries, bitter disputes, caused,0,
countries, help, asking,1,
art collectors, rights, have,2,
government, repossession, achieved,3,
peru, similar patrimony law, has,4,
united states customs service, recovery, pursued,5,
major natural history athropological museums, pre - columbian peruvian art, exhibited,6,
peruvian embassy, artifacts return, celebrates,7,
customs special agent richard conger, 10 hours, spent,8,
bernstein, value, declared,9,
60-year old evans, fatal heart attack, suffered,10,
search, 587 more peruvian archeological treasures, uncovered,11,
"(""todays reception""", official turnover, marks,12,
peru, ownership, claims,13,
people, u.s, know,14,
authorities, legal power, have,15,
u.su.s, only one other such bilateral agreement, has,16,
magistrate court, a half-dozen artifacts, turn,17,
district judge richard l. williams district judge richard l. williams, sentencing, set,18,
bernstein, customs officials, told,19,
section, photographs, features,20,
final room, viewer, satisfy,21,
congress, unesco convention, ratified,22,
time, toll, taking,23,
openness, easy access, give,24,
temples, street corner, grace,25,
stone statues, street walls, adorn,26,
nepal, nepal doors, nepal,27,
priests, detailed lists, maintain,28,
peru, treaty, helped by,29,
ang, detailed examination, instituted,30,
minister,"2,500-year old weaving", wrapped up,31,
gallery, mantle, has,32,
paracas mantle, centrepiece, form,33,
federal government, stolen relic, returned,34,
federal government,"35,000", paid,35,
rush, unprecedented boom, seen,36,
historian chettry, thefts, describes,37,
police, significant bust, made,38,
san antonio museum, 255-piece hoard, bought,39,
metropolitan team, three alternative compromises, offered,40,
the other half, the other half, found,41,
republic, anatolian museum, served,42,
owners, case, left,43,
one robert hecht, letter, produced,44,
donor, value, deduct,45,
mezzacappa, brooklyn museum, donated,46,
lawrence kaye, half, claimed,47,
men, broken urn, unearthed,48,
son, men, sold,49,
koch and koch partners, coins, bought,50,
mezzacappa, $ 1m, paid,51,
turkish officials, true value, estimated,52,
new york based american turkish society, garlanded sarcophagus, sent off,53,
police, six 9th and 10th century sandstone idols, intercepted,54,
indian laws, export, prohibit,55,
koch, ancient coin collection, stand,56,
koch, america cup yacht race, won,57,
koch, two of koch brothers, sued,58,
koch, 43 million refund, won,59,
case, bazaars, include,60,
kagan, ancient coins, mentioned,61,
koch, coins, collected,62,
federal judge, seizure, upheld,63,
turkey, mr, accused,64,
koch and koch partners," some 1,700 coins", bought,65,
hurter, ms, maintains,66,
turkish officials, mr, approached,67,
mcnall, view, changed,68,
vermeule, caution, expressed,69,
koch, bigger problems, have,70,
federal district judge g. stearns, mr, described,71,
stephen, about $3 million, bouthg,72,
share privacybadger, facebooklike button, replaced,73,
valley cultural vanguard, singular passivity, showed,74,
pictures, incontrovertible proof, taken,75,
thousands, 25 museums, fill up,76,
overseas demand, pull factor, constitutes,77,
identification, sustained investigation, require,78,
images, widest possible distribution, receive,79,
robbery, hard, hit,80,
pictures, undeniable proof, provide,81,
nepali artist, task, took up,82,
italy, action, taken,83,
raid, six alleged conspirators, netted,84,
cammarata, phiale, shows,85,
steinhardt, $ 1.2 million, offered,86,
haber, haber route, retraced,87,
greece, similar laws, have,88,
common law, private collections, put,89,
dispute, room, leave,90,
romans, greece, decried in,91,
spanish, mexico, pillaged,92,
political problems, scientific study, delayed,93,
similar fate, bronze age settlements, befell,94,
popularity, wave, triggered,95,
recent antiquities auctions, standing room crowds, drew,96,
items, vague references, carry,97,
largest database," more than 100,000 stolen items", lists,98,
insurance company, restitution, wants,99,
eisenberg, vase, purchased,100,
people, collection histories, make up,101,
united states, treaty, ratified,102,
united states, pacts, concluded,103,
koch,"2,400-year old coins", acquired,104,
elizabeth landt staff map map, location, shows,105,
elizabeth landt staff map map, route, shows,106,
large knob, navel, represents,107,
andrew, 20-year odyssey, graphic,108,
november 1991 veres, phiale, brings,109,
december 1991 veres, phiale, acquires,110,
1991 haber, possession, takes,111,
customs declaration, customs declaration value, puts,112,
1992 steinhardt, steinhardt phiale1992 steinhardt, displays,113,
customs agents, steinhardt phiale, seize,114,
italian authorities, six people, arrest,115,
authorities," more than 10,000 artifacts", confiscate,116,
small ceremony, god, welcomed,117,
unknown american collector, three sculptures, returned,118,
one event, pattern, changed,119,
gods, country, published in,120,
american collector, the day, remembers,121,
swiss high court, 62-year old antiquities smuggler edip telli, returned,122,
tellis, nationality, took on,123,
swiss court, file, examined,124,
thieves, jade figures, stole,125,
burglaries, advantage, has,126,
national geographic channel, early publicity materials, pulled,127,
critics, posting, found,128,
press director margaret, artnet news, told,129,
wall label, eight, lists,130,
scrupulous buyer, painting, purchase,131,
security guard, new york times, told,132,
police, siva, lodged in,133,
india, clear case, make,134,
toledo museum, stone sculpture, has,135,
helen mirren latest film, true story, tells,136,
story, fact, mitigate,137,
czernin findings, niece maria altmann claims, boosted,138,
arbitration panel, painting, awarded,139,
niece maria altmann, portrait, sell,140,
moma provenance research project, list, provides,141,
norton simon museum, list, provides,142,
artisans, tools, put up,143,
rago, current laws, following,144,
jessica metcalfe, connection, draws,145,
rhapsody, story, tells,146,
war, little, many us citizens,147,
government," about 120,000 japanese americans", relocated,148,
three persons, precious ashtadhatu idols, carrying,149,
thieves, ashtadhatu idols, stole,150,
tenth judicial district prosecutor thomas deen, elizabeth p. thurman, charged,151,
charges, lengthy state police investigation, follow,152,
auditors,"182,446", report,153,
elegant drawings, margins, adorned,154,
federal scientist, global warming, links,155,
merchants, merchants wares, singed,156,
krak de chevaliers, scars, bears,157,
appetite, opening, created,158,
one worker, column head, washes down,159,
artist, claims, made,160,
nga, willingness, showed,161,
kapoor arrest, process, speeded up,162,
priests, laxmi narayan mandir committee, informed,163,
priests, silver, took,164,
donation box, chain, had,165,
brooksbank, unspecified reward, offering,166,
brooksbank, inscription hall, contains,167,
cannon, a hundredweight and a half - the equivalent, estimates that,168,
key element, removal, includes,169,
removal, unobstructed view, allow,170,
"(""moscows pushkin museum""", mega expansion, plans,171,
sebastiano antoci, kids, told,172,
unit, antiquities trafficking, combats,173,
1 artwork, list, wanted,174,
police, tomic, traced,175,
new sign, hollyweed, read,176,
high quality global journalism, investment, requires,177,
select topic, email addressinvalid email sign, enter,178,
issue, widespread concern, triggered,179,
art dealers, losses, facing,180,
"(""todays more complex art market""", new players, contains,181,
letter, legal process, likened,182,
